################   Neural Network Training   ################
Era #37       Weight Coefficients: (0.0, 0.09376595, 0.073732644, 0.061566386, 0.055064555, 0.0527431, 0.05357749, 0.05684816, 0.062041353)
Era #38       Weight Coefficients: (0.0, 0.093923315, 0.073610745, 0.0613352, 0.054844763, 0.052622512, 0.053621497, 0.057106588, 0.06255316)
Era #39       Weight Coefficients: (0.0, 0.09408058, 0.07348891, 0.061104145, 0.054625094, 0.052502003, 0.05366548, 0.05736488, 0.063064665)
Era #40       Weight Coefficients: (0.0, 0.09423776, 0.07336715, 0.060873225, 0.054405555, 0.05238158, 0.053709444, 0.057623014, 0.06357589)
Era #41       Weight Coefficients: (0.0, 0.09439484, 0.07324544, 0.06064244, 0.054186154, 0.052261215, 0.053753383, 0.05788103, 0.06408683)
Era #42       Weight Coefficients: (0.0, 0.09455183, 0.073123805, 0.060411777, 0.053966865, 0.052140925, 0.0537973, 0.058138896, 0.06459747)
Era #43       Weight Coefficients: (0.0, 0.09470871, 0.07300224, 0.060181256, 0.053747714, 0.0520207, 0.053841207, 0.058396608, 0.06510783)
Era #44       Weight Coefficients: (0.0, 0.09486549, 0.07288075, 0.059950862, 0.05352868, 0.051900547, 0.053885084, 0.058654193, 0.0656179)
Era #45       Weight Coefficients: (0.0, 0.09502219, 0.07275932, 0.0597206, 0.053309795, 0.051780466, 0.053928934, 0.05891161, 0.06612767)
Era #46       Weight Coefficients: (0.0, 0.09517878, 0.07263795, 0.05949048, 0.05309103, 0.051660463, 0.053972766, 0.059168898, 0.06663717)
Era #47       Weight Coefficients: (0.0, 0.0953353, 0.07251666, 0.059260476, 0.052872386, 0.05154053, 0.054016583, 0.059426032, 0.067146376)
Era #48       Weight Coefficients: (0.0, 0.09549171, 0.07239542, 0.059030592, 0.052653875, 0.05142067, 0.05406037, 0.059683036, 0.06765529)
Era #49       Weight Coefficients: (0.0, 0.09564802, 0.07227426, 0.058800854, 0.052435488, 0.05130088, 0.05410413, 0.05993989, 0.068163924)
Era #50       Weight Coefficients: (0.0, 0.09580423, 0.07215316, 0.058571253, 0.052217226, 0.05118116, 0.05414788, 0.060196597, 0.06867226)
Era #51       Weight Coefficients: (0.0, 0.09596035, 0.07203212, 0.05834178, 0.05199909, 0.051061515, 0.054191604, 0.06045315, 0.069180325)
Era #52       Weight Coefficients: (0.0, 0.09611637, 0.07191115, 0.05811244, 0.051781084, 0.05094194, 0.05423531, 0.060709585, 0.06968808)
Era #53       Weight Coefficients: (0.0, 0.0962723, 0.07179025, 0.057883233, 0.05156321, 0.05082244, 0.054279003, 0.06096586, 0.07019555)
Era #54       Weight Coefficients: (0.0, 0.09642813, 0.07166943, 0.05765416, 0.05134546, 0.050703008, 0.054322664, 0.06122199, 0.07070274)
Era #55       Weight Coefficients: (0.0, 0.096583866, 0.071548656, 0.057425223, 0.051127832, 0.050583646, 0.0543663, 0.06147798, 0.071209624)
Era #56       Weight Coefficients: (0.0, 0.09673949, 0.071427956, 0.057196416, 0.050910335, 0.050464362, 0.054409925, 0.061733827, 0.07171624)
Era #57       Weight Coefficients: (0.0, 0.09689504, 0.071307324, 0.056967746, 0.050692964, 0.05034514, 0.054453522, 0.061989535, 0.07222257)
Era #58       Weight Coefficients: (0.0, 0.09705048, 0.07118676, 0.056739192, 0.050475717, 0.050225995, 0.054497097, 0.06224509, 0.0727286)
Era #59       Weight Coefficients: (0.0, 0.09720584, 0.07106626, 0.056510776, 0.0502586, 0.050106917, 0.05454065, 0.062500514, 0.07323434)
Era #60       Weight Coefficients: (0.0, 0.0973611, 0.07094584, 0.056282483, 0.05004161, 0.049987912, 0.05458417, 0.062755786, 0.073739804)
Era #61       Weight Coefficients: (0.0, 0.09751625, 0.07082548, 0.056054324, 0.049824744, 0.04986898, 0.054627683, 0.063010916, 0.074244976)
